鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
朴子市,房地(土地+建物),嘉義縣朴子市仁和二路121~150號,7.6,住,,,1060328,土地1建物1車位0,三層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0950828,31.23,1,1,1,有,有,720000,23055,,0.0,0,,RPQNMLMKMHMFFBQ88CA
民雄鄉,土地,崙子頂段91~120地號,214.49,,鄉村區,乙種建築用地,1060320,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2750000,12821,,0.0,0,,RPUNMLRKMHMFFCQ27CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉文隆村7鄰鴨母?61~90號,89.0,住,,,1060324,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0930906,158.64,6,1,6,有,無,4600000,28996,,0.0,0,,RPSNMLSKMHMFFCQ17CA
新港鄉,土地,溪北段溪北小段241~270地號,2232.5,,特定農業區,農牧用地,1060314,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,985,,0.0,0,兄弟親友特殊關係間之交易。,RPOOMLOKMHMFFCQ09CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉金興村12鄰惠安街42巷1~30號,80.16,住,,,1060324,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0710315,94.6,3,2,2,有,無,1800000,19027,,0.0,0,,RPUNMLQLMHMFFCQ27CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉興南村頭橋691~720號,120.24,住,,,1060304,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1051124,195.5,4,2,3,有,無,7160000,36624,,0.0,0,,RPQNMLQJNHMFFCQ76CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉興南村頭橋691~720號,207.02,住,,,1060109,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1051124,198.14,5,2,3,有,無,7480000,37751,,0.0,0,,RPRNMLQJNHMFFCQ86CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉文隆村山?1~30號,70.43,住,,,1051102,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830905,197.74,5,2,4,有,無,4200000,21240,,0.0,0,,RPSNMLNKMHMFFCQ66CA
民雄鄉,土地,西安段421~450地號,237.46,住,,,1060316,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5100000,21477,,0.0,0,,RPWNMLNKMHMFFCQ07CA
民雄鄉,土地,好收段好收小段721~750地號,1860.0,農,,,1060327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2605000,1401,,0.0,0,,RPXNMLNKMHMFFCQ17CA
新港鄉,土地,永福段871~900地號,120.0,住,,,1060305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2450000,20417,,0.0,0,,RPPOMLNKMHMFFCQ09CA
民雄鄉,房地(土地+建物),嘉義縣民雄鄉北斗村光明一街361~390號,102.0,住,,,1060313,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1051031,220.69,5,2,4,有,無,7300000,33078,,0.0,0,,RPVOMLOKMHMFFCQ17CA
新港鄉,房地(土地+建物),嘉義縣新港鄉三間村1~30號,181.82,,工業區,丁種建築用地,1060308,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051215,260.26,5,3,5,有,無,8700000,33428,,0.0,0,,RPPNMLRKMHMFFCQ76CA
